日期,份额_510300_华泰柏瑞,份额_510310_易方达,份额_510320_中金,份额_510330_华夏,份额_510350_工银,份额_510360_广发,份额_510370_兴业,份额_510380_国寿,份额_510390_平安,华泰_易方达_合计,9大ETF_总份额
2026-07-21,24357187700.0,11144444000.0,625068500.0,8402649800.0,679614700.0,1868381200.0,90258100.0,1332802400.0,137450000.0,35501631700.0,48637856400.0
2026-07-20,24421987700.0,11019344000.0,625068500.0,8386449800.0,680514700.0,1799381200.0,90258100.0,1269802400.0,137450000.0,35441331700.0,48430256400.0
2026-07-17,21716587700.0,10621544000.0,619068500.0,8252349800.0,676014700.0,1742381200.0,90258100.0,1269802400.0,135650000.0,32338131700.0,45123656400.0
2026-07-16,19701487700.0,9969944000.0,610068500.0,7889649800.0,675114700.0,1619381200.0,84258100.0,1260802400.0,133850000.0,29671431700.0,41944556400.0
2026-07-15,18395587700.0,9753944000.0,607068500.0,7765449800.0,673314700.0,1577381200.0,84258100.0,1251802400.0,129350000.0,28149531700.0,40238156400.0
2026-07-14,18481987700.0,9660344000.0,607068500.0,7749249800.0,673314700.0,1580381200.0,84258100.0,1251802400.0,129350000.0,28142331700.0,40217756400.0
2026-07-13,18320887700.0,9428144000.0,610068500.0,7710549800.0,675114700.0,1586381200.0,84258100.0,1251802400.0,125750000.0,27749031700.0,39792956400.0
2026-07-10,17157187700.0,9177044000.0,601068500.0,7578249800.0,671514700.0,1568381200.0,84258100.0,1251802400.0,119450000.0,26334231700.0,38208956400.0
2026-07-09,17214787700.0,9177944000.0,601068500.0,7550349800.0,676014700.0,1577381200.0,84258100.0,1251802400.0,119450000.0,26392731700.0,38253056400.0
2026-07-08,17203087700.0,9169844000.0,601068500.0,7534149800.0,675114700.0,1577381200.0,84258100.0,1251802400.0,119450000.0,26372931700.0,38216156400.0
2026-07-07,17094187700.0,9129344000.0,601068500.0,7514349800.0,674214700.0,1568381200.0,84258100.0,1251802400.0,119450000.0,26223531700.0,38037056400.0
2026-07-06,16821487700.0,9121244000.0,601068500.0,7520649800.0,675114700.0,1559381200.0,81258100.0,1251802400.0,119450000.0,25942731700.0,37751456400.0
2026-07-03,17069887700.0,9175244000.0,601068500.0,7548549800.0,677814700.0,1556381200.0,81258100.0,1242802400.0,119450000.0,26245131700.0,38072456400.0
2026-07-02,18532387700.0,10822244000.0,637068500.0,7554849800.0,677814700.0,1532381200.0,81258100.0,1242802400.0,119450000.0,29354631700.0,41200256400.0
2026-07-01,18395587700.0,11335244000.0,637068500.0,7503549800.0,677814700.0,1514381200.0,78258100.0,1242802400.0,119450000.0,29730831700.0,41504156400.0
2026-06-30,18914887700.0,11600744000.0,676068500.0,7489149800.0,679614700.0,1514381200.0,78258100.0,1242802400.0,118550000.0,30515631700.0,42314456400.0
