指数代码,指数名称,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
000300,沪深300,2026-04-27,4776.34,4770.95,4795.17,4762.64,192796550.0,648904814981.1,0.68,0.03,1.58,0.58
000300,沪深300,2026-04-24,4771.73,4769.37,4786.44,4735.61,193798314.0,680097832547.3,1.06,-0.35,-16.96,0.59
000300,沪深300,2026-04-23,4816.03,4786.33,4823.47,4759.86,,232865736.0,1.325310492683823,-0.2771046934867934,-13.300000000000182,
000300,沪深300,2026-04-22,4751.28,4799.63,4801.45,4750.35,204481830.0,619505670177.0,1.07,0.66,31.63,0.62
000300,沪深300,2026-04-21,4750.51,4768.0,4776.83,4722.01,,205614058.0,1.1523003968520824,0.2219681173067952,10.5600000000004,
000300,沪深300,2026-04-20,4727.17,4757.44,4763.04,4720.69,221633494.0,626568410330.9,0.9,0.61,28.77,0.67
000300,沪深300,2026-04-17,4729.0,4728.67,4738.32,4714.47,182915336.0,587622682307.9,0.5,-0.17,-7.94,0.55
000300,沪深300,2026-04-16,4694.43,4736.61,4739.22,4689.41,192057600.0,567611323592.2,1.06,1.1,51.36,0.58
000300,沪深300,2026-04-15,4726.64,4685.25,4731.27,4672.56,201688500.0,604550556798.3,1.25,-0.34,-16.03,0.61
000300,沪深300,2026-04-14,4676.12,4701.28,4701.28,4654.85,204700332.0,605717793585.3,1.0,1.19,55.13,0.62
000300,沪深300,2026-04-13,4615.13,4646.15,4653.4,4615.13,196712277.0,556620945240.3,0.83,0.21,9.58,0.6
000300,沪深300,2026-04-10,4594.95,4636.57,4655.1,4590.11,,208678605.0,1.423277897254199,1.5406616413576095,70.34999999999945,
000300,沪深300,2026-04-09,4562.67,4566.22,4579.2,4552.42,,184939783.0,0.5827363803323151,-0.6384423225896332,-29.340000000000146,
000300,沪深300,2026-04-08,4517.34,4595.56,4595.56,4513.77,,253339213.0,1.8418599204615564,3.489152415653682,154.9400000000005,
000300,沪深300,2026-04-07,4445.86,4440.62,4458.93,4420.69,,162638787.0,0.8611080460909137,-0.0038281476944433,-0.1700000000000727,
000300,沪深300,2026-04-03,4492.85,4440.79,4494.46,4437.6,,168321705.0,1.2695053037457702,-0.8510999327961467,-38.11999999999989,
000300,沪深300,2026-04-02,4514.44,4478.91,4519.69,4459.61,,190992161.0,1.3274209192522417,-1.0419635577885418,-47.159999999999854,
000300,沪深300,2026-04-01,4517.27,4526.07,4532.11,4492.05,,216483196.0,0.900214604330277,1.7082954124110858,76.01999999999953,
000300,沪深300,2026-03-31,4491.92,4450.05,4523.17,4450.05,,224541585.0,1.627800843731562,-0.93277975044245,-41.89999999999964,
000300,沪深300,2026-03-30,4461.74,4491.95,4496.41,4447.14,,209293092.0,1.0942639425927756,-0.2358652947094635,-10.61999999999989,
000300,沪深300,2026-03-27,4431.5,4502.57,4519.89,4431.42,,192400388.0,1.975866158350704,0.5592369007019488,25.039999999999964,
000300,沪深300,2026-03-26,4525.33,4477.53,4541.05,4468.96,,213736788.0,1.588770834848498,-1.3210004694246025,-59.94000000000051,
000300,沪深300,2026-03-25,4506.62,4537.47,4542.18,4502.03,,262639279.0,0.89726284549649,1.4023223799477955,62.75,
000300,沪深300,2026-03-24,4458.91,4474.72,4474.83,4394.29,,255532517.0,1.8229968311453133,1.283838841104578,56.720000000000255,
000300,沪深300,2026-03-23,4499.1,4418.0,4514.72,4397.57,,328081945.0,2.565129997241101,-3.262959216294223,-149.02000000000044,
000300,沪深300,2026-03-20,4602.82,4567.02,4628.71,4563.07,,257873703.0,1.4321714940271713,-0.3541155293732518,-16.229999999999563,
000300,沪深300,2026-03-19,4611.44,4583.25,4634.55,4570.39,,254130449.0,1.3773176224097443,-1.6117363948024277,-75.07999999999993,
000300,沪深300,2026-03-18,4648.75,4658.33,4662.29,4604.52,,234690705.0,1.2457304029809448,0.4504640491305619,20.890000000000327,
000300,沪深300,2026-03-17,4685.57,4637.44,4720.86,4637.37,,263021913.0,1.7871974244149658,-0.7303770046836774,-34.1200000000008,
000300,沪深300,2026-03-16,4669.22,4671.56,4673.69,4621.81,,296215070.0,1.1111253892579618,0.0518296731303853,2.4200000000000728,
000300,沪深300,2026-03-13,4669.06,4669.14,4707.42,4659.5,,310772009.0,1.0222802481461586,-0.3929549701763833,-18.42000000000008,
000300,沪深300,2026-03-12,4700.72,4687.56,4704.38,4654.31,,302986816.0,1.06430013816558,-0.3600807737272739,-16.9399999999996,
000300,沪深300,2026-03-11,4681.03,4704.5,4711.87,4674.71,,270175443.0,0.794907118226387,0.6361823922511483,29.73999999999978,
000300,沪深300,2026-03-10,4648.79,4674.76,4677.6,4648.79,,263903748.0,0.6242064712943108,1.2848123480649856,59.30000000000018,
000300,沪深300,2026-03-09,4600.25,4615.46,4625.98,4548.97,,322787617.0,1.6524190848932572,-0.9651449219386918,-44.97999999999956,
000300,沪深300,2026-03-06,4621.49,4660.44,4671.71,4612.79,,238527926.0,1.267726548027086,0.2743298283663498,12.75,
000300,沪深300,2026-03-05,4651.94,4647.69,4671.53,4630.3,,259317825.0,0.8957941346450405,0.9792248762661204,45.06999999999971,
